Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
216,الدين,شمس,المقدسي,الصلاح,تقي,الرواحيه,بدمشق,وستماه,بالمذهب,الشيخ,27,27,23
217,والزنج,والقبط,وياجوج,والهند,والنوبه,والحبشه,والروم,والسند,الترك,وماجوج,26,25,24
218,يشجب,كهلان,يعرب,قحطان,سبا,الغوث,عريب,شالخ,عابر,نبت,26,26,19
219,العزم,اولو,اولوا,صبر,وابراهيم,وموسي,الرسل,فاصبر,وعيسي,رابعهم,26,26,26
220,صباحا,السهل,يسكن,دمامه,الجاهليه,وادريس,بطنين,الجبل,المراه,الاولي,26,26,26
221,فانفقه,والمروه,قدميه,مظلوما,ذهبا,ومد,يوالك,الصفا,عمره,حج,26,26,25
222,فالغ,الخضر,ملكان,نمرود,العيص,عابر,شالخ,بليا,ارفخشذ,نمروذ,26,26,19
223,ومثلك,والنقمه,اعدا,تبعني,عصاني,غفور,صنعوا,ينزل,بالباس,فانك,26,24,19
224,الدهر,وصام,صام,والاضحي,الفطر,وافطر,نصف,شهر,ايام,ثلاثه,25,25,21
225,لهلكنا,رباعيتك,وادمي,ظهرك,وكسرت,فابيت,اخرنا,فلقد,وجهك,وامي,25,25,24
226,الفغوا,دعاني,الخزاعي,حدثنيه,معمر,سعد,عمرو,المدب,يزيد,سيار,25,25,23
227,العماليق,مكه,معاويه,عمليق,مسلمهم,وسيدهم,ومرثد,ذاك,لاوذ,بمكه,25,25,24
228,عاد,عوص,اخاهم,ارم,هودا,رباح,الخلود,سام,هود,وارسلنا,25,25,23
229,احسنوا,الحسني,للذين,وزياده,عرفه,سل,سلم,العمل,ثابت,البناني,25,25,23
230,زمزم,وقبورهم,سابط,والحجر,وصالح,لحق,وهود,وشعيب,هلكت,يموت,25,24,22
231,الجدود,ابواه,جبينه,بريق,الخدود,مسح,الجن,فله,الجصاصون,خرجوا,25,25,22
232,الشام,وخرج,طالب,خرج,اشياخ,واشياخ,يونس,قراد,ابيه,بكر,25,25,24
